ID,location,Species,pH,PPO4,TN,HCO3,width,depth,distance,coarsness,velocity,shade
101965_2012,Mountain siliceous,Fontinalis antipyretica,7.7,0.01,1.45,NA,1-2,0-30,3.921,0.71875,0.3-1.0,Largely shaded
101965_2012,Mountain siliceous,Amblystegium fluviatile,7.7,0.01,1.45,NA,1-2,0-30,3.921,0.71875,0.3-1.0,Largely shaded
101965_2012,Mountain siliceous,Chiloscyphus polyanthos,7.7,0.01,1.45,NA,1-2,0-30,3.921,0.71875,0.3-1.0,Largely shaded
101965_2012,Mountain siliceous,Platyhypnidium riparioides,7.7,0.01,1.45,NA,1-2,0-30,3.921,0.71875,0.3-1.0,Largely shaded
102805_2015,Mountain siliceous,Fontinalis antipyretica,7.6,0.01,1.8,NA,10-20,30-100,62.853,0.4125,0.3-1.0,Slightly shaded
102805_2015,Mountain siliceous,Fontinalis squamosa,7.6,0.01,1.8,NA,10-20,30-100,62.853,0.4125,0.3-1.0,Slightly shaded
102805_2015,Mountain siliceous,Chiloscyphus polyanthos,7.6,0.01,1.8,NA,10-20,30-100,62.853,0.4125,0.3-1.0,Slightly shaded
102805_2015,Mountain siliceous,Iris pseudacorus,7.6,0.01,1.8,NA,10-20,30-100,62.853,0.4125,0.3-1.0,Slightly shaded
103202_2015,Mountain siliceous,Fontinalis squamosa,7.6,0.012,2.2,NA,5-10,30-100,71.222,0.65625,0.1-0.3,Half shaded
103202_2015,Mountain siliceous,Chiloscyphus polyanthos,7.6,0.012,2.2,NA,5-10,30-100,71.222,0.65625,0.1-0.3,Half shaded
103305_2011,Mountain siliceous,Fontinalis squamosa,8,0.01,2.62,NA,10-20,30-100,75.841,0.75625,0.3-1.0,Slightly shaded
103305_2011,Mountain siliceous,Ranunculus peltatus,8,0.01,2.62,NA,10-20,30-100,75.841,0.75625,0.3-1.0,Slightly shaded
103305_2011,Mountain siliceous,Platyhypnidium riparioides,8,0.01,2.62,NA,10-20,30-100,75.841,0.75625,0.3-1.0,Slightly shaded
104413_2014,Medium lowland rhitrhral,Elodea nuttallii,7.8,0.036,1.5,NA,2-5,0-30,12.135,0.6,>1.0,Largely shaded
104413_2014,Medium lowland rhitrhral,Platyhypnidium riparioides,7.8,0.036,1.5,NA,2-5,0-30,12.135,0.6,>1.0,Largely shaded
104413_2014,Medium lowland rhitrhral,Ranunculus peltatus,7.8,0.036,1.5,NA,2-5,0-30,12.135,0.6,>1.0,Largely shaded
104413_2014,Medium lowland rhitrhral,Fontinalis antipyretica,7.8,0.036,1.5,NA,2-5,0-30,12.135,0.6,>1.0,Largely shaded
104413_2014,Medium lowland rhitrhral,Chiloscyphus polyanthos,7.8,0.036,1.5,NA,2-5,0-30,12.135,0.6,>1.0,Largely shaded
105302_2014,Small lowland rhitrhal,Nasturtium officinale,7.9,0.045,3.6,NA,<1-,0-30,7.149,0.5625,0.03-0.1,No shade
105302_2014,Small lowland rhitrhal,Fontinalis antipyretica,7.9,0.045,3.6,NA,<1-,0-30,7.149,0.5625,0.03-0.1,No shade
105302_2014,Small lowland rhitrhal,Platyhypnidium riparioides,7.9,0.045,3.6,NA,<1-,0-30,7.149,0.5625,0.03-0.1,No shade
105387_2010,NA,Elodea nuttallii,8,0.048,2.14,NA,<1-,0-30,5.763,NA,0.1-0.3,Half shaded
105557_2014,NA,Elodea nuttallii,7.8,0.026,2.2,NA,5-10,30-100,14.222,0.7,0.3-1.0,Half shaded
105557_2014,NA,Ranunculus peltatus,7.8,0.026,2.2,NA,5-10,30-100,14.222,0.7,0.3-1.0,Half shaded
105557_2014,NA,Platyhypnidium riparioides,7.8,0.026,2.2,NA,5-10,30-100,14.222,0.7,0.3-1.0,Half shaded
105557_2014,NA,Fontinalis antipyretica,7.8,0.026,2.2,NA,5-10,30-100,14.222,0.7,0.3-1.0,Half shaded
105600_2015,Mountain siliceous,Elodea canadensis,7.8,0.035,1.9,NA,10-20,30-100,102.045,0.35625,0.1-0.3,Half shaded
105600_2015,Mountain siliceous,Fontinalis antipyretica,7.8,0.035,1.9,NA,10-20,30-100,102.045,0.35625,0.1-0.3,Half shaded
105600_2015,Mountain siliceous,Amblystegium fluviatile,7.8,0.035,1.9,NA,10-20,30-100,102.045,0.35625,0.1-0.3,Half shaded
105600_2015,Mountain siliceous,Potamogeton crispus,7.8,0.035,1.9,NA,10-20,30-100,102.045,0.35625,0.1-0.3,Half shaded
105600_2015,Mountain siliceous,Ranunculus peltatus,7.8,0.035,1.9,NA,10-20,30-100,102.045,0.35625,0.1-0.3,Half shaded
105703_2015,Mountain siliceous,Potamogeton crispus,7.9,0.035,1.9,NA,10-20,30-100,106.776,0.6125,0.1-0.3,No shade
105703_2015,Mountain siliceous,Ranunculus fluitans,7.9,0.035,1.9,NA,10-20,30-100,106.776,0.6125,0.1-0.3,No shade
105703_2015,Mountain siliceous,Ranunculus penicillatus,7.9,0.035,1.9,NA,10-20,30-100,106.776,0.6125,0.1-0.3,No shade
106100_2015,Mountain siliceous,Fontinalis antipyretica,8.2,0.044,1.9,NA,10-20,30-100,114.309,0.59375,0.1-0.3,No shade
106100_2015,Mountain siliceous,Iris pseudacorus,8.2,0.044,1.9,NA,10-20,30-100,114.309,0.59375,0.1-0.3,No shade
106100_2015,Mountain siliceous,Callitriche platycarpa,8.2,0.044,1.9,NA,10-20,30-100,114.309,0.59375,0.1-0.3,No shade
106100_2015,Mountain siliceous,Ranunculus penicillatus,8.2,0.044,1.9,NA,10-20,30-100,114.309,0.59375,0.1-0.3,No shade
106100_2015,Mountain siliceous,Ranunculus fluitans,8.2,0.044,1.9,NA,10-20,30-100,114.309,0.59375,0.1-0.3,No shade
106800_2013,Small lowland rhitrhal,Callitriche platycarpa,7.7,0.114,11,NA,1-2,0-30,4.933,0.48125,0.03-0.1,Fully shaded
107610_2011,Medium lowland rhitrhral,Ceratophyllum demersum,7.9,0.17,3.14,NA,10-20,>100,140.756,0.575,0.3-1.0,No shade
107610_2011,Medium lowland rhitrhral,Fontinalis antipyretica,7.9,0.17,3.14,NA,10-20,>100,140.756,0.575,0.3-1.0,No shade
107610_2011,Medium lowland rhitrhral,Callitriche platycarpa,7.9,0.17,3.14,NA,10-20,>100,140.756,0.575,0.3-1.0,No shade
107610_2011,Medium lowland rhitrhral,Stuckenia pectinata,7.9,0.17,3.14,NA,10-20,>100,140.756,0.575,0.3-1.0,No shade
107610_2011,Medium lowland rhitrhral,Myriophyllum spicatum,7.9,0.17,3.14,NA,10-20,>100,140.756,0.575,0.3-1.0,No shade
107610_2011,Medium lowland rhitrhral,Potamogeton crispus,7.9,0.17,3.14,NA,10-20,>100,140.756,0.575,0.3-1.0,No shade
108406_2012,Mountain siliceous,Fontinalis antipyretica,8,0.02,0.78,NA,2-5,30-100,14.712,0.675,0.1-0.3,Half shaded
108406_2012,Mountain siliceous,Platyhypnidium riparioides,8,0.02,0.78,NA,2-5,30-100,14.712,0.675,0.1-0.3,Half shaded
108583_2015,Mountain calcareous,Fontinalis antipyretica,8.2,0.033,1.6,NA,1-2,30-100,8.002,0.40625,0.1-0.3,Half shaded
108900_2010,Mountain calcareous,Chiloscyphus polyanthos,8.3,0.017,4.04,NA,2-5,0-30,5.142,0.60625,0.3-1.0,Largely shaded
108900_2010,Mountain calcareous,Platyhypnidium riparioides,8.3,0.017,4.04,NA,2-5,0-30,5.142,0.60625,0.3-1.0,Largely shaded
108900_2010,Mountain calcareous,Fontinalis antipyretica,8.3,0.017,4.04,NA,2-5,0-30,5.142,0.60625,0.3-1.0,Largely shaded
109204_2012,Mountain calcareous,Platyhypnidium riparioides,8.3,0.03,4.19,NA,5-10,30-100,24.832,0.59375,0.1-0.3,Fully shaded
109204_2012,Mountain calcareous,Fontinalis antipyretica,8.3,0.03,4.19,NA,5-10,30-100,24.832,0.59375,0.1-0.3,Fully shaded
109502_2016,Mountain siliceous,Chiloscyphus polyanthos,8.3,0.029,3.5,NA,2-5,30-100,31.819,0.55625,0.3-1.0,Largely shaded
109502_2016,Mountain siliceous,Platyhypnidium riparioides,8.3,0.029,3.5,NA,2-5,30-100,31.819,0.55625,0.3-1.0,Largely shaded
109708_2012,Mountain siliceous,Iris pseudacorus,8.3,0.04,3.81,NA,10-20,30-100,36.418,0.775,0.3-1.0,Slightly shaded
109708_2012,Mountain siliceous,Platyhypnidium riparioides,8.3,0.04,3.81,NA,10-20,30-100,36.418,0.775,0.3-1.0,Slightly shaded
109903_2013,NA,Chiloscyphus polyanthos,7.7,0.018,1,NA,5-10,0-30,8.83,0.64375,0.3-1.0,Fully shaded
109903_2013,NA,Fontinalis antipyretica,7.7,0.018,1,NA,5-10,0-30,8.83,0.64375,0.3-1.0,Fully shaded
109903_2013,NA,Platyhypnidium riparioides,7.7,0.018,1,NA,5-10,0-30,8.83,0.64375,0.3-1.0,Fully shaded
110188_2013,Mountain siliceous,Fontinalis antipyretica,7.8,0.023,1.5,NA,1-2,0-30,5.566,0.69375,0.3-1.0,Largely shaded
110802_2013,NA,Fontinalis antipyretica,8.1,0.015,1.6,NA,2-5,30-100,16.629,0.46875,0.3-1.0,Slightly shaded
112100_2015,NA,Chiloscyphus polyanthos,7.6,0.027,2.2,NA,5-10,30-100,27.773,0.7125,0.3-1.0,Largely shaded
112100_2015,NA,Ranunculus peltatus,7.6,0.027,2.2,NA,5-10,30-100,27.773,0.7125,0.3-1.0,Largely shaded
112100_2015,NA,Fontinalis antipyretica,7.6,0.027,2.2,NA,5-10,30-100,27.773,0.7125,0.3-1.0,Largely shaded
112604_2016,Mountain siliceous,Ranunculus peltatus,7.5,0.075,1.3,NA,2-5,30-100,8.137,0.68125,0.3-1.0,Half shaded
112604_2016,Mountain siliceous,Chiloscyphus polyanthos,7.5,0.075,1.3,NA,2-5,30-100,8.137,0.68125,0.3-1.0,Half shaded
112604_2016,Mountain siliceous,Fontinalis antipyretica,7.5,0.075,1.3,NA,2-5,30-100,8.137,0.68125,0.3-1.0,Half shaded
112604_2016,Mountain siliceous,Amblystegium fluviatile,7.5,0.075,1.3,NA,2-5,30-100,8.137,0.68125,0.3-1.0,Half shaded
113505_2011,Mountain calcareous,Fontinalis antipyretica,8.3,0.02,5.49,NA,2-5,30-100,12.27299863,0.6375,0.1-0.3,Half shaded
113505_2011,Mountain calcareous,Amblystegium fluviatile,8.3,0.02,5.49,NA,2-5,30-100,12.27299863,0.6375,0.1-0.3,Half shaded
114509_2011,Mountain siliceous,Fontinalis antipyretica,8.2,0.11,6.15,NA,2-5,30-100,26.03899937,0.80625,0.3-1.0,Largely shaded
114509_2011,Mountain siliceous,Platyhypnidium riparioides,8.2,0.11,6.15,NA,2-5,30-100,26.03899937,0.80625,0.3-1.0,Largely shaded
115101_2017,Mountain siliceous,Nasturtium officinale,8.3,0.13,2.4,NA,NA-,NA,10.646,NA,NA,NA
115101_2017,Mountain siliceous,Glyceria fluitans,8.3,0.13,2.4,NA,NA-,NA,10.646,NA,NA,NA
115101_2017,Mountain siliceous,Potamogeton berchtoldii,8.3,0.13,2.4,NA,NA-,NA,10.646,NA,NA,NA
115307_2017,NA,Fontinalis antipyretica,8.1,0.086,2.7,NA,NA-,NA,40.372,NA,NA,NA
116609_2011,NA,Chiloscyphus polyanthos,8.4,NA,NA,NA,2-5,0-30,5.027,0.8875,0.3-1.0,Fully shaded
116609_2011,NA,Platyhypnidium riparioides,8.4,NA,NA,NA,2-5,0-30,5.027,0.8875,0.3-1.0,Fully shaded
117602_2017,Mountain siliceous,Callitriche obtusangula,7.8,0.013,2,NA,NA-,NA,18.73,NA,NA,NA
117602_2017,Mountain siliceous,Chiloscyphus polyanthos,7.8,0.013,2,NA,NA-,NA,18.73,NA,NA,NA
117602_2017,Mountain siliceous,Amblystegium fluviatile,7.8,0.013,2,NA,NA-,NA,18.73,NA,NA,NA
117602_2017,Mountain siliceous,Fontinalis antipyretica,7.8,0.013,2,NA,NA-,NA,18.73,NA,NA,NA
117900_2017,NA,Platyhypnidium riparioides,7.5,0.025,1.2,NA,NA-,NA,8.602,NA,NA,NA
117900_2017,NA,Chiloscyphus polyanthos,7.5,0.025,1.2,NA,NA-,NA,8.602,NA,NA,NA
118102_2017,NA,Amblystegium fluviatile,7.6,0.065,3.1,NA,NA-,NA,14.746,NA,NA,NA
118102_2017,NA,Platyhypnidium riparioides,7.6,0.065,3.1,NA,NA-,NA,14.746,NA,NA,NA
118102_2017,NA,Chiloscyphus polyanthos,7.6,0.065,3.1,NA,NA-,NA,14.746,NA,NA,NA
118102_2017,NA,Fontinalis antipyretica,7.6,0.065,3.1,NA,NA-,NA,14.746,NA,NA,NA
119404_2014,Small lowland rhitrhal,Callitriche stagnalis,8,0.107,4.4,NA,1-2,30-100,18.628,0.5375,0.3-1.0,Half shaded
119600_2017,Small lowland rhitrhal,Lemna minor,7.77,NA,NA,NA,1-2,0-30,27.561,NA,0.1-0.3,Largely shaded
119600_2017,Small lowland rhitrhal,Nasturtium officinale,7.77,NA,NA,NA,1-2,0-30,27.561,NA,0.1-0.3,Largely shaded
119600_2017,Small lowland rhitrhal,Elodea nuttallii,7.77,NA,NA,NA,1-2,0-30,27.561,NA,0.1-0.3,Largely shaded
119600_2017,Small lowland rhitrhal,Berula erecta,7.77,NA,NA,NA,1-2,0-30,27.561,NA,0.1-0.3,Largely shaded
119600_2017,Small lowland rhitrhal,Callitriche platycarpa,7.77,NA,NA,NA,1-2,0-30,27.561,NA,0.1-0.3,Largely shaded
120005_2014,Small lowland rhitrhal,Potamogeton crispus,8.1,0.056,1.9,NA,2-5,30-100,32.861,0.3375,0.1-0.3,Slightly shaded
120005_2014,Small lowland rhitrhal,Ranunculus penicillatus,8.1,0.056,1.9,NA,2-5,30-100,32.861,0.3375,0.1-0.3,Slightly shaded
120005_2014,Small lowland rhitrhal,Elodea nuttallii,8.1,0.056,1.9,NA,2-5,30-100,32.861,0.3375,0.1-0.3,Slightly shaded
120005_2014,Small lowland rhitrhal,Lemna minor,8.1,0.056,1.9,NA,2-5,30-100,32.861,0.3375,0.1-0.3,Slightly shaded
120005_2014,Small lowland rhitrhal,Zannichellia palustris,8.1,0.056,1.9,NA,2-5,30-100,32.861,0.3375,0.1-0.3,Slightly shaded
121836_2013,Small lowland rhitrhal,Stuckenia pectinata,8.3,0.288,2.6,NA,1-2,30-100,18.974,0.31875,0.1-0.3,Half shaded
121836_2013,Small lowland rhitrhal,Zannichellia palustris,8.3,0.288,2.6,NA,1-2,30-100,18.974,0.31875,0.1-0.3,Half shaded
121836_2013,Small lowland rhitrhal,Potamogeton crispus,8.3,0.288,2.6,NA,1-2,30-100,18.974,0.31875,0.1-0.3,Half shaded
122208_2016,Small lowland rhitrhal,Myriophyllum spicatum,8.3,NA,NA,NA,1-2,30-100,9.244,0.525,<0.03,Slightly shaded
122208_2016,Small lowland rhitrhal,Elodea nuttallii,8.3,NA,NA,NA,1-2,30-100,9.244,0.525,<0.03,Slightly shaded
122506_2016,Small lowland rhitrhal,Stuckenia pectinata,8.3,0.34,4.4,NA,2-5,30-100,27.398,0.55625,0.03-0.1,Half shaded
122506_2016,Small lowland rhitrhal,Zannichellia palustris,8.3,0.34,4.4,NA,2-5,30-100,27.398,0.55625,0.03-0.1,Half shaded
122506_2016,Small lowland rhitrhal,Myriophyllum spicatum,8.3,0.34,4.4,NA,2-5,30-100,27.398,0.55625,0.03-0.1,Half shaded
122907_2016,Small lowland rhitrhal,Myriophyllum spicatum,8.5,0.11,3.2,NA,5-10,30-100,13.443,0.70625,0.3-1.0,Half shaded
122907_2016,Small lowland rhitrhal,Ranunculus fluitans,8.5,0.11,3.2,NA,5-10,30-100,13.443,0.70625,0.3-1.0,Half shaded
122907_2016,Small lowland rhitrhal,Callitriche obtusangula,8.5,0.11,3.2,NA,5-10,30-100,13.443,0.70625,0.3-1.0,Half shaded
122907_2016,Small lowland rhitrhal,Fontinalis antipyretica,8.5,0.11,3.2,NA,5-10,30-100,13.443,0.70625,0.3-1.0,Half shaded
122907_2016,Small lowland rhitrhal,Ranunculus peltatus,8.5,0.11,3.2,NA,5-10,30-100,13.443,0.70625,0.3-1.0,Half shaded
123183_2015,Mountain siliceous,Platyhypnidium riparioides,8.1,0.029,1,NA,1-2,30-100,6.368,0.53125,0.1-0.3,Half shaded
123183_2015,Mountain siliceous,Amblystegium fluviatile,8.1,0.029,1,NA,1-2,30-100,6.368,0.53125,0.1-0.3,Half shaded
123201_2015,Mountain siliceous,Chiloscyphus polyanthos,8.2,0.05,1,NA,2-5,30-100,7.504,0.325,0.3-1.0,Largely shaded
123201_2015,Mountain siliceous,Platyhypnidium riparioides,8.2,0.05,1,NA,2-5,30-100,7.504,0.325,0.3-1.0,Largely shaded
123201_2015,Mountain siliceous,Fontinalis antipyretica,8.2,0.05,1,NA,2-5,30-100,7.504,0.325,0.3-1.0,Largely shaded
123304_2012,Mountain siliceous,Veronica anagallis-aquatica,8.2,0.1,2.25,NA,2-5,0-30,8.128,0.93125,0.1-0.3,No shade
123500_2012,Mountain siliceous,Fontinalis antipyretica,8.2,0.18,7.58,NA,2-5,30-100,7.445,0.66875,0.1-0.3,Largely shaded
124400_2012,Mountain siliceous,Myriophyllum spicatum,8.1,0.14,6.84,NA,2-5,30-100,14.119,0.7875,0.1-0.3,Slightly shaded
124400_2012,Mountain siliceous,Platyhypnidium riparioides,8.1,0.14,6.84,NA,2-5,30-100,14.119,0.7875,0.1-0.3,Slightly shaded
124400_2012,Mountain siliceous,Fontinalis antipyretica,8.1,0.14,6.84,NA,2-5,30-100,14.119,0.7875,0.1-0.3,Slightly shaded
125155_2015,Small lowland rhitrhal,Callitriche platycarpa,7.5,NA,NA,NA,1-2,30-100,6.586,0.4875,0.1-0.3,Slightly shaded
125155_2015,Small lowland rhitrhal,Potamogeton crispus,7.5,NA,NA,NA,1-2,30-100,6.586,0.4875,0.1-0.3,Slightly shaded
125258_2012,Mountain siliceous,Myriophyllum spicatum,7.9,0.1,4.46,NA,10-20,>100,25.031,0.5375,0.3-1.0,Slightly shaded
125258_2012,Mountain siliceous,Nasturtium officinale,7.9,0.1,4.46,NA,10-20,>100,25.031,0.5375,0.3-1.0,Slightly shaded
125258_2012,Mountain siliceous,Callitriche obtusangula,7.9,0.1,4.46,NA,10-20,>100,25.031,0.5375,0.3-1.0,Slightly shaded
125258_2012,Mountain siliceous,Potamogeton crispus,7.9,0.1,4.46,NA,10-20,>100,25.031,0.5375,0.3-1.0,Slightly shaded
125532_2015,Small lowland rhitrhal,Callitriche platycarpa,7.7,0.175,7.2,NA,1-2,30-100,8.089,0.46875,0.03-0.1,Slightly shaded
125532_2015,Small lowland rhitrhal,Elodea canadensis,7.7,0.175,7.2,NA,1-2,30-100,8.089,0.46875,0.03-0.1,Slightly shaded
125532_2015,Small lowland rhitrhal,Berula erecta,7.7,0.175,7.2,NA,1-2,30-100,8.089,0.46875,0.03-0.1,Slightly shaded
125532_2015,Small lowland rhitrhal,Glyceria fluitans,7.7,0.175,7.2,NA,1-2,30-100,8.089,0.46875,0.03-0.1,Slightly shaded
125696_2015,NA,Elodea nuttallii,7.8,NA,NA,NA,5-10,30-100,30.61999948,0.85625,0.3-1.0,Slightly shaded
125696_2015,NA,Myriophyllum spicatum,7.8,NA,NA,NA,5-10,30-100,30.61999948,0.85625,0.3-1.0,Slightly shaded
125696_2015,NA,Callitriche obtusangula,7.8,NA,NA,NA,5-10,30-100,30.61999948,0.85625,0.3-1.0,Slightly shaded
126214_2012,Small lowland rhitrhal,Potamogeton natans,7.2,0.18,7.44,NA,1-2,30-100,0.474,0.7375,0.3-1.0,No shade
126214_2012,Small lowland rhitrhal,Stuckenia pectinata,7.2,0.18,7.44,NA,1-2,30-100,0.474,0.7375,0.3-1.0,No shade
126214_2012,Small lowland rhitrhal,Sparganium emersum,7.2,0.18,7.44,NA,1-2,30-100,0.474,0.7375,0.3-1.0,No shade
126214_2012,Small lowland rhitrhal,Callitriche stagnalis,7.2,0.18,7.44,NA,1-2,30-100,0.474,0.7375,0.3-1.0,No shade
126305_2015,NA,Myriophyllum spicatum,8.6,0.287,3.5,NA,1-2,0-30,3.344,0.5625,0.1-0.3,No shade
126305_2015,NA,Veronica anagallis-aquatica,8.6,0.287,3.5,NA,1-2,0-30,3.344,0.5625,0.1-0.3,No shade
126305_2015,NA,Nasturtium officinale,8.6,0.287,3.5,NA,1-2,0-30,3.344,0.5625,0.1-0.3,No shade
126305_2015,NA,Sparganium emersum,8.6,0.287,3.5,NA,1-2,0-30,3.344,0.5625,0.1-0.3,No shade
126500_2012,Small lowland rhitrhal,Ceratophyllum demersum,8.7,0.39,4.63,NA,1-2,0-30,13.211,0.55,0.3-1.0,Half shaded
126500_2012,Small lowland rhitrhal,Myriophyllum spicatum,8.7,0.39,4.63,NA,1-2,0-30,13.211,0.55,0.3-1.0,Half shaded
126500_2012,Small lowland rhitrhal,Potamogeton berchtoldii,8.7,0.39,4.63,NA,1-2,0-30,13.211,0.55,0.3-1.0,Half shaded
126500_2012,Small lowland rhitrhal,Elodea canadensis,8.7,0.39,4.63,NA,1-2,0-30,13.211,0.55,0.3-1.0,Half shaded
126500_2012,Small lowland rhitrhal,Elodea nuttallii,8.7,0.39,4.63,NA,1-2,0-30,13.211,0.55,0.3-1.0,Half shaded
126615_2012,Medium lowland rhitrhral,Callitriche obtusangula,8.3,0.22,3.75,NA,10-20,30-100,50.306,0.5125,0.3-1.0,Slightly shaded
126615_2012,Medium lowland rhitrhral,Myriophyllum spicatum,8.3,0.22,3.75,NA,10-20,30-100,50.306,0.5125,0.3-1.0,Slightly shaded
126615_2012,Medium lowland rhitrhral,Stuckenia pectinata,8.3,0.22,3.75,NA,10-20,30-100,50.306,0.5125,0.3-1.0,Slightly shaded
126615_2012,Medium lowland rhitrhral,Elodea nuttallii,8.3,0.22,3.75,NA,10-20,30-100,50.306,0.5125,0.3-1.0,Slightly shaded
126615_2012,Medium lowland rhitrhral,Fontinalis antipyretica,8.3,0.22,3.75,NA,10-20,30-100,50.306,0.5125,0.3-1.0,Slightly shaded
126640_2012,Small lowland rhitrhal,Callitriche obtusangula,7.2,0.5,15.8,NA,1-2,0-30,9.171,0.25,0.03-0.1,Fully shaded
126664_2015,NA,Ceratophyllum demersum,8.4,0.337,5.4,NA,5-10,30-100,49.779,0.30625,0.1-0.3,No shade
126664_2015,NA,Elodea nuttallii,8.4,0.337,5.4,NA,5-10,30-100,49.779,0.30625,0.1-0.3,No shade
126664_2015,NA,Callitriche platycarpa,8.4,0.337,5.4,NA,5-10,30-100,49.779,0.30625,0.1-0.3,No shade
126664_2015,NA,Stuckenia pectinata,8.4,0.337,5.4,NA,5-10,30-100,49.779,0.30625,0.1-0.3,No shade
126664_2015,NA,Potamogeton crispus,8.4,0.337,5.4,NA,5-10,30-100,49.779,0.30625,0.1-0.3,No shade
126664_2015,NA,Myriophyllum spicatum,8.4,0.337,5.4,NA,5-10,30-100,49.779,0.30625,0.1-0.3,No shade
126706_2015,Medium lowland rhitrhral,Elodea nuttallii,8.2,0.273,5.2,NA,2-5,30-100,52.86,0.4375,>1.0,Slightly shaded
126706_2015,Medium lowland rhitrhral,Callitriche obtusangula,8.2,0.273,5.2,NA,2-5,30-100,52.86,0.4375,>1.0,Slightly shaded
126706_2015,Medium lowland rhitrhral,Potamogeton crispus,8.2,0.273,5.2,NA,2-5,30-100,52.86,0.4375,>1.0,Slightly shaded
126706_2015,Medium lowland rhitrhral,Stuckenia pectinata,8.2,0.273,5.2,NA,2-5,30-100,52.86,0.4375,>1.0,Slightly shaded
126706_2015,Medium lowland rhitrhral,Ceratophyllum demersum,8.2,0.273,5.2,NA,2-5,30-100,52.86,0.4375,>1.0,Slightly shaded
126809_2015,Medium lowland rhitrhral,Callitriche obtusangula,7.9,0.36,5.3,NA,5-10,30-100,56.52,0.5375,0.3-1.0,No shade
126809_2015,Medium lowland rhitrhral,Ceratophyllum demersum,7.9,0.36,5.3,NA,5-10,30-100,56.52,0.5375,0.3-1.0,No shade
126809_2015,Medium lowland rhitrhral,Stuckenia pectinata,7.9,0.36,5.3,NA,5-10,30-100,56.52,0.5375,0.3-1.0,No shade
126809_2015,Medium lowland rhitrhral,Zannichellia palustris,7.9,0.36,5.3,NA,5-10,30-100,56.52,0.5375,0.3-1.0,No shade
126809_2015,Medium lowland rhitrhral,Elodea nuttallii,7.9,0.36,5.3,NA,5-10,30-100,56.52,0.5375,0.3-1.0,No shade
