Taxon,Parameter,Value,Abundance,Date,Location
Callitriche brutia,TN,10.3,3,26/06/2011,NW_318085
Callitriche brutia,TP,0.12,1,26/08/2012,SN_OBF16700
Callitriche brutia,TN,1.4,2,07/08/2012,NI_59522244
Callitriche brutia,TN,11.3,2,09/07/2012,NW_320055
Callitriche brutia,pH,7.8,4,15/08/2012,NW_606730
Callitriche brutia,TN,6.5,1,27/07/2010,SN_OBF30501
Callitriche brutia,HCO3,17,2,31/08/2010,SN_OBF37000
Callitriche brutia,HCO3,22,2,31/08/2010,SN_OBF37000
Callitriche brutia,TN,3.15,1,29/05/2011,NW_318279
Callitriche brutia,pH,7.2,2,12/08/2012,SN_OBF06511
Callitriche brutia,TP,0.062,2,12/08/2012,SN_OBF06511
Callitriche brutia,HCO3,27,1,03/08/2011,SN_OBF46900
Callitriche brutia,TP,0.11,3,17/09/2012,SN_OBF49500
Callitriche brutia,HCO3,42,3,27/07/2011,SN_OBF30800
Callitriche brutia,HCO3,67,4,05/09/2012,SN_OBF20401
Callitriche brutia,TP,0.3,2,19/08/2010,NW_304530
Callitriche brutia,HCO3,110,1,01/10/2012,SN_OBF15900
Callitriche brutia,pH,7.76,1,01/09/2010,NW_284403
Callitriche brutia,pH,7.3,3,10/09/2012,SN_OBF22150
Callitriche brutia,TN,8.9,4,15/08/2012,SN_OBF28750
Callitriche brutia,pH,7.4,3,07/08/2011,SN_OBF49994
Callitriche brutia,TP,0.37,5,22/08/2010,TH_TH_2463
Callitriche brutia,TN,3.4,1,08/09/2010,TH_TH_2379
Callitriche brutia,HCO3,44,3,26/07/2010,SN_OBF30620
Callitriche brutia,TN,0.8,3,10/09/2012,ST_415382
Callitriche brutia,TN,1.7,2,07/08/2012,NI_59522244
Callitriche brutia,pH,6.9,4,13/06/2011,NW_318048
Callitriche brutia,pH,7.8,1,29/05/2011,NW_318279
Callitriche brutia,TP,0.12,2,07/08/2012,NI_59522244
Callitriche brutia,HCO3,73,4,05/09/2012,SN_OBF20401
Callitriche brutia,TN,1.4,3,19/08/2010,TH_TH_2058
Callitriche brutia,pH,7.6,4,16/08/2012,NW_607101
Callitriche brutia,HCO3,52,3,26/07/2010,SN_OBF30620
Callitriche brutia,TP,0.04265,3,10/09/2012,TH_TH_2490
Callitriche brutia,TN,13,2,09/08/2011,SN_OBF55000
Callitriche brutia,TN,21,3,10/09/2012,SN_OBF22150
Callitriche brutia,pH,7.4,3,17/09/2012,SN_OBF49500
Callitriche brutia,pH,7,3,19/07/2012,NW_317007
Callitriche brutia,HCO3,67,3,27/08/2012,SN_OBF28350
Callitriche brutia,TP,0.51,4,23/08/2010,TH_TH_2466
Callitriche brutia,TN,5.5,3,27/08/2012,SN_OBF28350
Callitriche brutia,TP,0.16,1,26/08/2012,SN_OBF16700
Callitriche brutia,TN,11.2,4,16/08/2012,NW_607101
Callitriche brutia,TN,1.9,1,27/08/2013,TH_TH_2094
Callitriche brutia,TP,0.38,5,22/08/2010,TH_TH_2463
Callitriche brutia,TN,8.34,4,16/08/2012,NW_607101
Callitriche brutia,pH,7.2,2,31/08/2010,SN_OBF37000
Callitriche brutia,pH,8,1,03/07/2012,NW_808738
Callitriche brutia,TP,0.06363,3,10/09/2012,TH_TH_2489
Callitriche brutia,TP,0.2387,3,10/09/2012,TH_TH_2489
Callitriche brutia,HCO3,25,2,31/08/2010,SN_OBF37000
Callitriche brutia,TN,3.4,3,23/08/2010,TH_TH_2465
Callitriche brutia,TN,11,4,22/08/2012,SN_OBF23111
Callitriche brutia,TP,0.2,1,01/10/2012,SN_OBF15900
Callitriche brutia,pH,7.1,2,31/08/2010,SN_OBF37000
Callitriche brutia,pH,7.1,2,27/09/2012,SN_OBF16043
Callitriche brutia,TN,10,3,27/08/2012,SN_OBF28803
Callitriche brutia,TN,2,1,03/08/2011,SN_OBF46900
Callitriche brutia,pH,6.8,3,19/07/2012,NW_317007
Callitriche brutia,pH,7.6,2,31/07/2011,SN_OBF28000
Callitriche brutia,TP,0.21,3,23/08/2010,TH_TH_2465
Callitriche brutia,pH,7.85,3,23/08/2010,TH_TH_2465
Callitriche brutia,TP,0.26,1,23/08/2011,SN_OBF03800
Callitriche brutia,pH,7.62,1,05/10/2010,NW_284701
Callitriche brutia,TP,0.054,3,07/08/2011,SN_OBF49994
Callitriche brutia,TP,0.04,1,04/10/2011,SN_OBF36600
Callitriche brutia,TN,2,1,27/08/2013,TH_TH_2094
Callitriche brutia,TN,3.22,1,01/09/2010,NW_284403
Callitriche brutia,TN,2,4,12/09/2012,NI_48362328
Callitriche brutia,TP,0.072,2,07/08/2012,NI_59522244
Callitriche brutia,pH,7.9,2,27/08/2013,TH_TH_2381
Callitriche brutia,TP,0.096,3,12/09/2012,NI_48692093
Callitriche brutia,TN,6.4,2,16/09/2012,SN_OBF22713
Callitriche brutia,pH,7.96,3,23/08/2010,TH_TH_2465
Callitriche brutia,pH,8.1,2,28/06/2012,NW_613708
Callitriche brutia,pH,8.2,2,28/06/2012,NW_613708
Callitriche brutia,TN,1.7,2,23/08/2010,TH_TH_2468
Callitriche brutia,TN,2,2,23/08/2010,TH_TH_2468
Callitriche brutia,pH,8,3,24/06/2012,NW_613101
Callitriche brutia,TN,12,4,22/08/2012,SN_OBF23111
Callitriche brutia,HCO3,48,3,27/07/2011,SN_OBF30800
Callitriche brutia,TP,0.085,2,07/08/2012,NI_59522244
Callitriche brutia,TN,8.1,2,16/09/2012,SN_OBF22713
Callitriche brutia,pH,7.58,1,27/08/2013,TH_TH_2094
Callitriche brutia,pH,7,2,31/08/2010,SN_OBF37000
Callitriche brutia,TN,2.6,2,01/09/2010,SN_OBF37001
Callitriche brutia,TN,7.5,2,09/08/2011,SN_OBF55000
Callitriche brutia,TN,1.9,1,03/08/2011,SN_OBF46900
Callitriche brutia,pH,7.6,2,07/08/2012,NI_59522244
Callitriche brutia,TN,3.3,1,08/09/2010,TH_TH_2379
Callitriche brutia,HCO3,100,2,20/07/2011,SN_OBF02831
Callitriche brutia,pH,7.98,2,27/08/2013,TH_TH_2381
Callitriche brutia,pH,7.5,1,03/07/2012,NW_808738
Callitriche brutia,HCO3,50,1,27/07/2010,SN_OBF30501
Callitriche brutia,TN,6.78,2,19/08/2010,NW_304530
Callitriche brutia,pH,6.6,3,15/08/2011,SN_OBF22701
Callitriche brutia,TN,5.5,1,26/08/2012,SN_OBF17000
Callitriche brutia,TN,4.3,1,26/08/2012,SN_OBF17000
Callitriche brutia,TN,1.3,2,07/08/2012,NI_59522244
Callitriche brutia,pH,7.1,2,10/09/2012,SN_OBF22200
Callitriche brutia,TP,0.17,2,20/07/2011,SN_OBF02831
Callitriche brutia,TP,0.09,2,11/09/2011,NW_806572
Callitriche brutia,pH,7.8,2,11/09/2011,NW_806572
Callitriche brutia,TP,0.25,4,23/08/2010,TH_TH_2466
Callitriche brutia,TN,5,3,27/08/2012,SN_OBF28350
Callitriche brutia,TN,5,4,27/08/2012,SN_OBF25700
Callitriche brutia,HCO3,73,2,16/08/2011,SN_OBF22711
Callitriche brutia,TP,0.26,4,27/08/2012,SN_OBF25700
Callitriche brutia,TP,0.04,2,12/08/2012,SN_OBF06511
Callitriche brutia,HCO3,30,1,03/08/2011,SN_OBF46900
Callitriche brutia,pH,6.9,2,01/09/2010,SN_OBF37001
Callitriche brutia,HCO3,23,1,03/08/2011,SN_OBF46900
Callitriche brutia,HCO3,79,2,16/09/2012,SN_OBF22713
Callitriche brutia,TP,0.33,3,10/09/2012,SN_OBF22150
Callitriche brutia,TP,0.16,2,06/09/2010,SN_OBF36911
Callitriche brutia,TN,7.1,2,13/09/2011,SN_OBF32601
Callitriche brutia,TP,0.051,1,04/10/2011,SN_OBF36600
Callitriche brutia,HCO3,25,1,03/08/2011,SN_OBF47000
Callitriche brutia,TN,3.1,1,01/09/2010,NW_284403
Callitriche brutia,TN,10,2,26/09/2012,SN_OBF44902
Callitriche brutia,TP,0.29,2,26/09/2012,SN_OBF44902
Callitriche brutia,pH,7.5,2,31/07/2011,SN_OBF28000
Callitriche brutia,TN,5.25,3,22/06/2012,NW_669003
Callitriche brutia,TP,0.04,2,21/09/2010,SN_OBF31301
Callitriche brutia,pH,7.5,1,23/08/2011,SN_OBF03800
Callitriche brutia,TN,3.3,3,31/07/2012,NW_801926
Callitriche brutia,pH,8,3,16/08/2012,NW_606601
Callitriche brutia,pH,7.1,1,29/05/2011,NW_318279
Callitriche brutia,TN,9.2,1,01/10/2012,SN_OBF15900
Callitriche brutia,TN,11,1,01/10/2012,SN_OBF15900
Callitriche brutia,pH,7.2,4,13/06/2011,NW_318048
Callitriche brutia,TN,2.8,3,23/08/2010,TH_TH_2465
Callitriche brutia,TP,0.16,1,23/08/2011,SN_OBF03800
Callitriche brutia,pH,7.9,2,09/07/2012,NW_603508
Callitriche brutia,TP,0.11,3,12/09/2012,NI_48692093
Callitriche brutia,TP,0.08,2,31/08/2010,SN_OBF37000
Callitriche brutia,TN,6.1,1,01/09/2010,SN_OBF37600
Callitriche brutia,TN,6.1,4,27/08/2012,SN_OBF25700
Callitriche brutia,HCO3,9,2,01/09/2010,SN_OBF37001
Callitriche brutia,pH,7.6,4,27/08/2012,SN_OBF25700
Callitriche brutia,TP,0.075,2,07/08/2012,NI_59522244
Callitriche brutia,TN,12.9,3,19/07/2012,NW_317007
Callitriche brutia,pH,8,2,31/07/2012,NW_801872
Callitriche brutia,TN,3.8,3,07/08/2011,SN_OBF49994
Callitriche brutia,HCO3,214,4,05/09/2010,TH_TH_2384
Callitriche brutia,HCO3,48,1,27/07/2010,SN_OBF30501
Callitriche brutia,pH,7.4,2,06/09/2010,SN_OBF36911
Callitriche brutia,TN,8.5,4,15/08/2012,SN_OBF28750
Callitriche brutia,pH,7.2,3,20/10/2011,SN_OBF39600
Callitriche brutia,TP,0.37,3,20/10/2011,SN_OBF39600
Callitriche brutia,HCO3,28,1,03/08/2011,SN_OBF47000
Callitriche brutia,TN,2.9,2,27/08/2013,TH_TH_2381
Callitriche brutia,TN,3.9,3,15/08/2011,SN_OBF22701
Callitriche brutia,TN,1.3,3,19/08/2010,TH_TH_2058
Callitriche brutia,TP,0.13,1,26/08/2012,SN_OBF16700
Callitriche brutia,pH,7.6,1,27/08/2013,TH_TH_2094
Callitriche brutia,TN,5.3,2,10/09/2012,SN_OBF22200
Callitriche brutia,TN,4.7,1,26/08/2012,SN_OBF17000
Callitriche brutia,HCO3,60,2,23/09/2012,SN_OBF24380
Callitriche brutia,pH,7.86,4,05/09/2010,TH_TH_2384
Callitriche brutia,pH,7.95,4,05/09/2010,TH_TH_2384
Callitriche brutia,TN,1.5,2,19/08/2010,TH_TH_2077
Callitriche brutia,TN,3.1,1,08/09/2010,TH_TH_2379
Callitriche brutia,HCO3,92,1,01/10/2012,SN_OBF15900
Callitriche brutia,TN,8.4,2,31/07/2011,SN_OBF28000
Callitriche brutia,TN,5.3,3,01/08/2012,NW_801914
Callitriche brutia,TP,0.09,2,31/08/2010,SN_OBF37000
Callitriche brutia,TP,0.53,3,26/07/2010,SN_OBF30620
Callitriche brutia,HCO3,46,3,20/10/2011,SN_OBF39600
Callitriche brutia,pH,7.9,4,16/08/2012,NW_607101
Callitriche brutia,pH,7.3,4,27/08/2012,SN_OBF25700
Callitriche brutia,TN,2.3,4,23/08/2010,TH_TH_2466
Callitriche brutia,TN,8.2,2,12/08/2012,SN_OBF06511
Callitriche brutia,HCO3,41,1,01/09/2010,SN_OBF37600
Callitriche brutia,HCO3,98,1,01/10/2012,SN_OBF15900
Callitriche brutia,TN,3.2,1,08/09/2010,TH_TH_2379
Callitriche brutia,TN,4.52,2,28/06/2012,NW_613708
Callitriche brutia,HCO3,52,4,21/08/2012,SN_OBF21410
Callitriche brutia,pH,6.8,3,27/08/2012,SN_OBF28803
Callitriche brutia,pH,6.7,3,10/09/2012,SN_OBF22150
Callitriche brutia,pH,7,3,10/09/2012,SN_OBF22150
Callitriche brutia,pH,7.99,3,04/09/2010,TH_TH_2385
Callitriche brutia,pH,7.8,1,16/10/2011,SN_OBF46100
Callitriche brutia,pH,7.5,1,05/10/2010,NW_284701
Callitriche brutia,pH,7.35,1,05/10/2010,NW_284701
Callitriche brutia,TN,6.7,1,03/07/2012,NW_808738
Callitriche brutia,HCO3,193,4,05/09/2010,TH_TH_2384
Callitriche brutia,HCO3,207,4,05/09/2010,TH_TH_2384
Callitriche brutia,pH,7.2,2,06/09/2010,SN_OBF36911
Callitriche brutia,pH,7.5,2,06/09/2010,SN_OBF36911
Callitriche brutia,TP,0.22,2,31/07/2011,SN_OBF28000
Callitriche brutia,HCO3,120,4,27/08/2012,SN_OBF25700
Callitriche brutia,HCO3,43,3,27/08/2012,SN_OBF28350
Callitriche brutia,TP,0.2846,1,27/08/2013,TH_TH_2094
Callitriche brutia,HCO3,175,1,08/09/2010,TH_TH_2379
Callitriche brutia,pH,6.8,1,29/05/2011,NW_318279
Callitriche brutia,TP,0.11,2,10/09/2012,SN_OBF22200
Callitriche brutia,TN,2.5,3,23/08/2010,TH_TH_2465
Callitriche brutia,HCO3,59,2,26/09/2012,SN_OBF44902
Callitriche brutia,HCO3,103,2,23/08/2010,TH_TH_2468
