Code,Species,Depth,Width,Velocity,Alkalinity,NO3,TP,Substrate
FR5063,Octodiceras fontanum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5028,Najas major,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5007,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5023,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5023,Scirpus lacustris,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5023,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5008,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5008,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5008,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5018,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5009,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5019,Najas major,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5010,Amblystegium riparium,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Scirpus lacustris,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5026,Myriophyllum spicatum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5027,Potamogeton perfoliatus,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5027,Myriophyllum spicatum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5027,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5027,Rhynchostegium riparioides,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5027,Fontinalis antipyretica,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5028,Lemna minor,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5028,Amblystegium riparium,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5028,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5028,Octodiceras fontanum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5028,Myriophyllum spicatum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5003,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5016,Sparganium emersum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Stuckenia pectinata,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Amblystegium riparium,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Potamogeton nodosus,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Ceratophyllum demersum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Callitriche platycarpa,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5016,Fontinalis antipyretica,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5017,Najas major,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5017,Potamogeton crispus,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5017,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5017,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5008,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5005,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5005,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5009,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5005,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5040,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5040,Fontinalis antipyretica,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5040,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5041,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5041,Fontinalis antipyretica,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5006,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Potamogeton perfoliatus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Scirpus lacustris,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Scirpus lacustris,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Najas major,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5007,Potamogeton perfoliatus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5022,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5022,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5022,Sparganium emersum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5023,Callitriche platycarpa,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5023,Nasturtium officinale,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5044,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5045,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5023,Berula erecta,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5005,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5024,Amblystegium riparium,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5024,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5024,Octodiceras fontanum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5005,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5025,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5025,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5025,Elodea canadensis,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5010,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5010,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Nasturtium officinale,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Scirpus lacustris,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5011,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5012,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5012,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5012,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5012,Potamogeton crispus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5024,Scirpus lacustris,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5012,Lemna minor,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5012,Nasturtium officinale,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5012,Scirpus lacustris,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5024,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5001,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5001,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5002,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5002,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5002,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Callitriche platycarpa,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Amblystegium riparium,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5003,Rhynchostegium riparioides,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5058,Potamogeton nodosus,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5058,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5059,Octodiceras fontanum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5059,Cinclidotus fontinaloides,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5059,Potamogeton nodosus,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5004,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Scirpus lacustris,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5039,Stuckenia pectinata,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5039,Ranunculus fluitans,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5039,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5039,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5061,Octodiceras fontanum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5061,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5061,Ceratophyllum demersum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5061,Stuckenia pectinata,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5047,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5041,Ranunculus fluitans,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5041,Stuckenia pectinata,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5041,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5022,Equisetum palustre,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5022,Scirpus lacustris,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5022,Octodiceras fontanum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5022,Ceratophyllum demersum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5022,Amblystegium fluviatile,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5043,Lemna minor,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5043,Spirodela polyrhiza,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5043,Ranunculus fluitans,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5043,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5030,Spirodela polyrhiza,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5031,Myriophyllum spicatum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5031,Ceratophyllum demersum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5045,Amblystegium riparium,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5045,Octodiceras fontanum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5045,Fontinalis antipyretica,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5045,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5046,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5046,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5047,Ranunculus fluitans,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5047,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5026,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5026,Fontinalis antipyretica,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5013,Potamogeton crispus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5047,Lemna gibba,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5047,Ceratophyllum demersum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5047,Stuckenia pectinata,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5047,Lemna minor,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5048,Najas major,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5048,Myriophyllum spicatum,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5049,Zannichellia palustris,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5049,Ceratophyllum demersum,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5049,Najas major,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5049,Spirodela polyrhiza,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5028,Ceratophyllum demersum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5029,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5029,Fontinalis antipyretica,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5030,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5030,Lemna minor,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5030,Myriophyllum spicatum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5030,Fontinalis antipyretica,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5059,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5031,Fontinalis antipyretica,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5012,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5032,Octodiceras fontanum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5032,Myriophyllum spicatum,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5032,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5012,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Nasturtium officinale,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5013,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5047,Najas major,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5014,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5014,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5014,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5014,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5015,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5015,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5042,Myriophyllum spicatum,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5042,Stuckenia pectinata,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5049,Lemna minor,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5049,Potamogeton nodosus,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5049,Myriophyllum spicatum,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5059,Amblystegium riparium,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5051,Myriophyllum spicatum,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5051,Potamogeton nodosus,1.5,86,0.67,NA,6.4,100,"silt, sand and gravel"
FR5060,Fontinalis antipyretica,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5060,Potamogeton nodosus,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5060,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5060,Stuckenia pectinata,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5001,Ranunculus fluitans,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5001,Stuckenia pectinata,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5042,Potamogeton crispus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5042,Potamogeton nodosus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5047,Potamogeton crispus,1.3,110,0.5,NA,6.8,110,"silt, sand and gravel"
FR5031,Ranunculus fluitans,1.9,174,0.44,NA,4.8,50,"silt, sand and gravel"
FR5001,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5001,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5001,Ceratophyllum demersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
GB1686,Apium nodiflorum,0.231428571,2.1,NA,NA,1.71381,NA,sand
GB1686,Callitriche obtusangula,0.231428571,2.1,NA,NA,1.71381,NA,sand
GB1686,Elodea nuttallii,0.231428571,2.1,NA,NA,1.71381,NA,sand
IT1003,Potamogeton nodosus,0.7,5,NA,NA,7.71,NA,sand
PL1002,Myriophyllum spicatum,0.7,8,0.66,NA,NA,NA,sand
IT1003,Myosotis scorpioides,0.7,5,NA,NA,7.71,NA,sand
PL1002,Stuckenia pectinata,0.7,8,0.66,NA,NA,NA,sand
IT1036,Equisetum palustre,0.4,5,NA,NA,4.12,NA,sand
GB1686,Rhynchostegium riparioides,0.231428571,2.1,NA,NA,1.71381,NA,sand
GB1687,Callitriche hamulata,0.2825,2.5,NA,NA,1.646429,NA,sand
PL1002,Hydrocharis morsus-ranae,0.7,8,0.66,NA,NA,NA,sand
IT1036,Myosotis scorpioides,0.4,5,NA,NA,4.12,NA,sand
GB1686,Callitriche stagnalis,0.231428571,2.1,NA,NA,1.71381,NA,sand
DE1177,Ranunculus peltatus,NA,4,NA,3,NA,NA,sand
IT1036,Veronica beccabunga,0.4,5,NA,NA,4.12,NA,sand
DE1177,Elodea canadensis,NA,4,NA,3,NA,NA,sand
DE1177,Glyceria fluitans,NA,4,NA,3,NA,NA,sand
PL1002,Fontinalis antipyretica,0.7,8,0.66,NA,NA,NA,sand
GB1689,Ranunculus penicillatus,NA,NA,NA,NA,1.9,NA,sand
PL1003,Berula erecta,NA,3,0.15,NA,0.48697,NA,sand
FL1030,Glyceria fluitans,0.8,5.5,0.2,NA,NA,NA,sand
PL1002,Berula erecta,0.7,8,0.66,NA,NA,NA,sand
DE1177,Myosotis scorpioides,NA,4,NA,3,NA,NA,sand
PL1002,Lemna trisulca,0.7,8,0.66,NA,NA,NA,sand
GB1687,Ranunculus peltatus,0.2825,2.5,NA,NA,1.646429,NA,sand
PL1002,Nuphar lutea,0.7,8,0.66,NA,NA,NA,sand
GB1687,Oenanthe crocata,0.2825,2.5,NA,NA,1.646429,NA,sand
IT1036,Potamogeton nodosus,0.4,5,NA,NA,4.12,NA,sand
IT1037,Myosotis scorpioides,0.5,5,NA,NA,1.2,NA,sand
GB1687,Callitriche obtusangula,0.2825,2.5,NA,NA,1.646429,NA,sand
IT1037,Elodea canadensis,0.5,5,NA,NA,1.2,NA,sand
GB1700,Sparganium emersum,0.16125,6.8,NA,NA,1.617222,NA,sand
PL1052,Lemna minor,0.4,4,NA,5.2,0.226,680,sand
IT1036,Lemna minor,0.4,5,NA,NA,4.12,NA,sand
FL1030,Myriophyllum spicatum,0.8,5.5,0.2,NA,NA,NA,sand
GB1687,Sparganium emersum,0.2825,2.5,NA,NA,1.646429,NA,sand
IT1037,Callitriche hamulata,0.5,5,NA,NA,1.2,NA,sand
FL1168,Potamogeton natans,NA,NA,NA,NA,8.65,NA,sand
IT1036,Amblystegium tenax,0.4,5,NA,NA,4.12,NA,sand
DE1171,Amblystegium riparium,NA,2,NA,1.6,NA,NA,sand
GB1687,Myosotis scorpioides,0.2825,2.5,NA,NA,1.646429,NA,sand
GB1687,Elodea nuttallii,0.2825,2.5,NA,NA,1.646429,NA,sand
GB1700,Callitriche obtusangula,0.16125,6.8,NA,NA,1.617222,NA,sand
FL1109,Myosotis scorpioides,NA,NA,NA,NA,4.97,NA,sand
GB1687,Potamogeton natans,0.2825,2.5,NA,NA,1.646429,NA,sand
DE1178,Callitriche stagnalis,NA,2,NA,1.6,NA,NA,sand
IT1037,Veronica beccabunga,0.5,5,NA,NA,1.2,NA,sand
IT1037,Rhynchostegium riparioides,0.5,5,NA,NA,1.2,NA,sand
PL1001,Potamogeton alpinus,0.3,4,0.3,NA,2.83328,NA,sand
IT1036,Berula erecta,0.4,5,NA,NA,4.12,NA,sand
DE1018,Sparganium emersum,NA,5,0.5,NA,4.17,190,sand
