ID,Species,Abundance,Date,Cl,EC,Fe,GH,HCO3,NNH4,NNO2,NNO3,pH,PPO4,SO4,Temp,TN,TOC,Location,mittlere_breite_opt,mittlere_tiefevop_opt,beschattung_opt,fliessgeschw_opt,ks_steinpflaster_tog,ks_steinschuett_tog,ks_rasenkammerst_tog,ks_steinstickung_tog,ks_beton_tog,argyllal_dg,psammal_dg,akal_dg,mikrolithal_dg,mesolithal_dg,makrolithal_dg,megalithal_dg,substrat_organisch_torf,elevation,distance_to_source,gefaelle
103202_2015,Chiloscyphus polyanthos,2,06/17/15,19.8,187,0.094,NA,NA,0.05,0.02,1.88,7.6,0.012,13.3,11.3,2.2,3.2,Mountain,4,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,10,15,30,15,20,168.7149963,71.222,NA
103202_2015,Fontinalis squamosa,1,06/17/15,19.8,187,0.094,NA,NA,0.05,0.02,1.88,7.6,0.012,13.3,11.3,2.2,3.2,Mountain,4,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,10,15,30,15,20,168.7149963,71.222,NA
103305_2011,Fontinalis squamosa,4,06/29/11,23.2,230,0.085,NA,NA,0.05,0.01,2.26,8,0.01,15,17.6,2.62,2.51,Mountain,5,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,10,40,40,NA,NA,157.91,75.841,NA
103305_2011,Myriophyllum alterniflorum,1,06/29/11,23.2,230,0.085,NA,NA,0.05,0.01,2.26,8,0.01,15,17.6,2.62,2.51,Mountain,5,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,10,40,40,NA,NA,157.91,75.841,NA
103305_2011,Platyhypnidium riparioides,3,06/29/11,23.2,230,0.085,NA,NA,0.05,0.01,2.26,8,0.01,15,17.6,2.62,2.51,Mountain,5,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,10,40,40,NA,NA,157.91,75.841,NA
103305_2011,Ranunculus peltatus,2,06/29/11,23.2,230,0.085,NA,NA,0.05,0.01,2.26,8,0.01,15,17.6,2.62,2.51,Mountain,5,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,10,40,40,NA,NA,157.91,75.841,NA
104413_2014,Chiloscyphus polyanthos,1,07/25/14,13.8,897,0.17,NA,NA,0.05,0.02,1.05,7.8,0.036,280,17.6,1.5,3.8,Lowland,3,1,4,5,TRUE,FALSE,FALSE,TRUE,FALSE,NA,5,5,5,5,5,40,35,116.77,12.135,NA
104413_2014,Elodea nuttallii,1,07/25/14,13.8,897,0.17,NA,NA,0.05,0.02,1.05,7.8,0.036,280,17.6,1.5,3.8,Lowland,3,1,4,5,TRUE,FALSE,FALSE,TRUE,FALSE,NA,5,5,5,5,5,40,35,116.77,12.135,NA
104413_2014,Ranunculus peltatus,3,07/25/14,13.8,897,0.17,NA,NA,0.05,0.02,1.05,7.8,0.036,280,17.6,1.5,3.8,Lowland,3,1,4,5,TRUE,FALSE,FALSE,TRUE,FALSE,NA,5,5,5,5,5,40,35,116.77,12.135,NA
104413_2014,Fontinalis antipyretica,4,07/25/14,13.8,897,0.17,NA,NA,0.05,0.02,1.05,7.8,0.036,280,17.6,1.5,3.8,Lowland,3,1,4,5,TRUE,FALSE,FALSE,TRUE,FALSE,NA,5,5,5,5,5,40,35,116.77,12.135,NA
104413_2014,Platyhypnidium riparioides,1,07/25/14,13.8,897,0.17,NA,NA,0.05,0.02,1.05,7.8,0.036,280,17.6,1.5,3.8,Lowland,3,1,4,5,TRUE,FALSE,FALSE,TRUE,FALSE,NA,5,5,5,5,5,40,35,116.77,12.135,NA
105302_2014,Fontinalis antipyretica,1,07/03/14,30,417,0.067,NA,NA,0.05,0.02,3.12,7.9,0.045,47,17.9,3.6,2.9,Lowland,1,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,50,50,125.13,7.149,NA
105302_2014,Nasturtium officinale,1,07/03/14,30,417,0.067,NA,NA,0.05,0.02,3.12,7.9,0.045,47,17.9,3.6,2.9,Lowland,1,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,50,50,125.13,7.149,NA
105302_2014,Platyhypnidium riparioides,2,07/03/14,30,417,0.067,NA,NA,0.05,0.02,3.12,7.9,0.045,47,17.9,3.6,2.9,Lowland,1,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,50,50,125.13,7.149,NA
105387_2010,Elodea nuttallii,4,06/23/10,18,450,0.32,NA,NA,0.05,0.05,1.86,8,0.048,44,14.8,2.14,3.9,NA,1,1,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,122.41,5.763,NA
105557_2014,Elodea nuttallii,1,07/25/14,20.7,220,0.28,NA,NA,0.05,0.02,1.81,7.8,0.026,11.8,18,2.2,3.9,NA,4,2,3,4,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,70,10,10,10,NA,103.87,14.222,NA
105557_2014,Fontinalis antipyretica,1,07/25/14,20.7,220,0.28,NA,NA,0.05,0.02,1.81,7.8,0.026,11.8,18,2.2,3.9,NA,4,2,3,4,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,70,10,10,10,NA,103.87,14.222,NA
105557_2014,Platyhypnidium riparioides,1,07/25/14,20.7,220,0.28,NA,NA,0.05,0.02,1.81,7.8,0.026,11.8,18,2.2,3.9,NA,4,2,3,4,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,70,10,10,10,NA,103.87,14.222,NA
105557_2014,Ranunculus peltatus,2,07/25/14,20.7,220,0.28,NA,NA,0.05,0.02,1.81,7.8,0.026,11.8,18,2.2,3.9,NA,4,2,3,4,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,70,10,10,10,NA,103.87,14.222,NA
105600_2015,Amblystegium fluviatile,1,07/01/15,21.6,570,0.21,NA,NA,0.05,0.02,1.52,7.8,0.035,73.8,19.7,1.9,3.9,Mountain,5,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,20,5,5,15,10,5,NA,40,83.95500183,102.045,NA
105600_2015,Elodea canadensis,1,07/01/15,21.6,570,0.21,NA,NA,0.05,0.02,1.52,7.8,0.035,73.8,19.7,1.9,3.9,Mountain,5,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,20,5,5,15,10,5,NA,40,83.95500183,102.045,NA
105600_2015,Ranunculus peltatus,2,07/01/15,21.6,570,0.21,NA,NA,0.05,0.02,1.52,7.8,0.035,73.8,19.7,1.9,3.9,Mountain,5,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,20,5,5,15,10,5,NA,40,83.95500183,102.045,NA
105600_2015,Fontinalis antipyretica,1,07/01/15,21.6,570,0.21,NA,NA,0.05,0.02,1.52,7.8,0.035,73.8,19.7,1.9,3.9,Mountain,5,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,20,5,5,15,10,5,NA,40,83.95500183,102.045,NA
105600_2015,Potamogeton crispus,1,07/01/15,21.6,570,0.21,NA,NA,0.05,0.02,1.52,7.8,0.035,73.8,19.7,1.9,3.9,Mountain,5,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,20,5,5,15,10,5,NA,40,83.95500183,102.045,NA
105703_2015,Potamogeton crispus,1,07/01/15,27.7,660,0.6,NA,NA,0.05,0.02,1.51,7.9,0.035,87.4,21.1,1.9,3.9,Mountain,5,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,10,40,40,NA,NA,10,75,106.776,NA
105703_2015,Ranunculus fluitans,3,07/01/15,27.7,660,0.6,NA,NA,0.05,0.02,1.51,7.9,0.035,87.4,21.1,1.9,3.9,Mountain,5,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,10,40,40,NA,NA,10,75,106.776,NA
105703_2015,Ranunculus penicillatus,3,07/01/15,27.7,660,0.6,NA,NA,0.05,0.02,1.51,7.9,0.035,87.4,21.1,1.9,3.9,Mountain,5,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,10,40,40,NA,NA,10,75,106.776,NA
106100_2015,Fontinalis antipyretica,1,07/10/15,31,610,0.58,NA,NA,0.05,0.02,1.65,8.2,0.044,81.2,20,1.9,4.3,Mountain,5,2,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,75,NA,NA,25,63.21,114.309,NA
106100_2015,Iris pseudacorus,1,07/10/15,31,610,0.58,NA,NA,0.05,0.02,1.65,8.2,0.044,81.2,20,1.9,4.3,Mountain,5,2,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,75,NA,NA,25,63.21,114.309,NA
106100_2015,Callitriche platycarpa,1,07/10/15,31,610,0.58,NA,NA,0.05,0.02,1.65,8.2,0.044,81.2,20,1.9,4.3,Mountain,5,2,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,75,NA,NA,25,63.21,114.309,NA
106100_2015,Ranunculus fluitans,2,07/10/15,31,610,0.58,NA,NA,0.05,0.02,1.65,8.2,0.044,81.2,20,1.9,4.3,Mountain,5,2,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,75,NA,NA,25,63.21,114.309,NA
106100_2015,Ranunculus penicillatus,1,07/10/15,31,610,0.58,NA,NA,0.05,0.02,1.65,8.2,0.044,81.2,20,1.9,4.3,Mountain,5,2,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,75,NA,NA,25,63.21,114.309,NA
106800_2013,Callitriche platycarpa,4,07/22/13,52,550,0.44,NA,NA,0.22,0.082,9.8,7.7,0.114,86.3,21.7,11,4,Lowland,2,1,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,15,35,10,10,10,NA,20,63.13,4.933,7.590000153
107610_2011,Callitriche platycarpa,2,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
107610_2011,Myriophyllum heterophyllum,1,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
107610_2011,Myriophyllum spicatum,1,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
107610_2011,Potamogeton crispus,2,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
107610_2011,Stuckenia pectinata,2,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
107610_2011,Ceratophyllum demersum,1,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
107610_2011,Fontinalis antipyretica,1,08/02/11,48.1,590,NA,NA,NA,0.12,0.03,2.81,7.9,0.17,67.4,18.1,3.14,5.07,Lowland,5,3,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,5,20,20,30,15,10,NA,NA,28.96500015,140.756,NA
108406_2012,Fontinalis antipyretica,4,07/05/12,27.5,380,0.44,NA,NA,0.05,0.01,0.48,8,0.02,11,16,0.78,5.24,Mountain,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,10,5,35,35,NA,10,459.78,14.712,NA
108406_2012,Platyhypnidium riparioides,3,07/05/12,27.5,380,0.44,NA,NA,0.05,0.01,0.48,8,0.02,11,16,0.78,5.24,Mountain,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,10,5,35,35,NA,10,459.78,14.712,NA
108583_2015,Fontinalis antipyretica,2,06/11/15,57.3,680,0.5,NA,NA,0.05,0.02,1.47,8.2,0.033,21.9,15.3,1.6,4.9,Mountain,2,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,10,15,5,50,459.91,8.002,7.949999809
108900_2010,Platyhypnidium riparioides,2,07/05/10,32,640,0.12,NA,NA,0.05,0.05,3.4,8.3,0.017,23,12.9,4.04,1.27,Mountain,3,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,10,35,15,20,10,5,NA,431.37,5.142,16.18000031
108900_2010,Fontinalis antipyretica,3,07/05/10,32,640,0.12,NA,NA,0.05,0.05,3.4,8.3,0.017,23,12.9,4.04,1.27,Mountain,3,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,10,35,15,20,10,5,NA,431.37,5.142,16.18000031
108900_2010,Chiloscyphus polyanthos,3,07/05/10,32,640,0.12,NA,NA,0.05,0.05,3.4,8.3,0.017,23,12.9,4.04,1.27,Mountain,3,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,10,35,15,20,10,5,NA,431.37,5.142,16.18000031
109204_2012,Fontinalis antipyretica,2,07/02/12,35.1,530,0.24,NA,NA,0.05,0.01,3.88,8.3,0.03,23.5,13.4,4.19,4.42,Mountain,4,2,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,5,10,25,40,10,5,5,NA,394.8,24.832,NA
109204_2012,Platyhypnidium riparioides,2,07/02/12,35.1,530,0.24,NA,NA,0.05,0.01,3.88,8.3,0.03,23.5,13.4,4.19,4.42,Mountain,4,2,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,5,10,25,40,10,5,5,NA,394.8,24.832,NA
109502_2016,Platyhypnidium riparioides,2,06/30/16,30,540,0.13,NA,NA,0.05,0.02,2.8,8.3,0.029,24,15.4,3.5,2.7,Mountain,3,2,4,4,FALSE,TRUE,FALSE,FALSE,FALSE,NA,10,10,25,20,10,5,20,352.19,31.819,NA
109502_2016,Chiloscyphus polyanthos,1,06/30/16,30,540,0.13,NA,NA,0.05,0.02,2.8,8.3,0.029,24,15.4,3.5,2.7,Mountain,3,2,4,4,FALSE,TRUE,FALSE,FALSE,FALSE,NA,10,10,25,20,10,5,20,352.19,31.819,NA
109708_2012,Platyhypnidium riparioides,3,07/05/12,34.5,400,0.42,NA,NA,0.12,0.03,3.53,8.3,0.04,19.4,15,3.81,4.57,Mountain,5,2,2,4,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,10,50,15,20,5,324.47,36.418,NA
109708_2012,Iris pseudacorus,1,07/05/12,34.5,400,0.42,NA,NA,0.12,0.03,3.53,8.3,0.04,19.4,15,3.81,4.57,Mountain,5,2,2,4,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,10,50,15,20,5,324.47,36.418,NA
109903_2013,Platyhypnidium riparioides,1,07/08/13,8.34,100,0.39,NA,NA,0.05,0.02,0.784,7.7,0.018,8.16,13.2,1,3.4,NA,4,1,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,30,35,10,5,10,472.11,8.83,8.489999771
109903_2013,Fontinalis antipyretica,1,07/08/13,8.34,100,0.39,NA,NA,0.05,0.02,0.784,7.7,0.018,8.16,13.2,1,3.4,NA,4,1,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,30,35,10,5,10,472.11,8.83,8.489999771
109903_2013,Chiloscyphus polyanthos,1,07/08/13,8.34,100,0.39,NA,NA,0.05,0.02,0.784,7.7,0.018,8.16,13.2,1,3.4,NA,4,1,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,5,30,35,10,5,10,472.11,8.83,8.489999771
110188_2013,Fontinalis antipyretica,1,07/09/13,19.4,144,0.13,NA,NA,0.05,0.02,1.44,7.8,0.023,9.62,16.1,1.5,2.1,Mountain,2,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,10,10,30,25,10,5,488.02,5.566,17.15999985
110802_2013,Fontinalis antipyretica,1,07/08/13,10.8,130,0.073,NA,NA,0.05,0.02,1.4,8.1,0.015,10.5,11.2,1.6,1.9,NA,3,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,30,25,5,NA,40,392.57,16.629,NA
112100_2015,Ranunculus peltatus,1,06/11/15,16.8,180,0.068,NA,NA,0.073,0.02,1.97,7.6,0.027,13.7,11.7,2.2,2.5,NA,4,2,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,5,10,20,40,25,332.72,27.773,NA
112100_2015,Chiloscyphus polyanthos,2,06/11/15,16.8,180,0.068,NA,NA,0.073,0.02,1.97,7.6,0.027,13.7,11.7,2.2,2.5,NA,4,2,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,5,10,20,40,25,332.72,27.773,NA
112100_2015,Fontinalis antipyretica,1,06/11/15,16.8,180,0.068,NA,NA,0.073,0.02,1.97,7.6,0.027,13.7,11.7,2.2,2.5,NA,4,2,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,5,10,20,40,25,332.72,27.773,NA
112604_2016,Amblystegium fluviatile,1,06/17/16,17,180,2.6,NA,NA,0.05,0.02,0.56,7.5,0.075,8.3,11.7,1.3,11.8,Mountain,3,2,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,15,10,25,20,15,10,435.39,8.137,NA
112604_2016,Ranunculus peltatus,3,06/17/16,17,180,2.6,NA,NA,0.05,0.02,0.56,7.5,0.075,8.3,11.7,1.3,11.8,Mountain,3,2,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,15,10,25,20,15,10,435.39,8.137,NA
